content,cleaned_content,score,accuracy,completeness,satisfaction
sering terjadi dana tersedot tiba-tiba buat berlangganan padahal aplikasi yang berlangganan sudah tidak dipakai/sudah diuninstall tetapi kenapa bisa tersedot sendiri uangnya bikin jengkel saja,sering terjadi dana tersedot tiba tiba buat berlangganan padahal aplikasi yang berlangganan sudah tidak dipakai sudah diuninstall tetapi kenapa bisa tersedot sendiri uangnya bikin jengkel saja,1,1,0,1
"konyol banget,kode qris gak bisa di gunakan padahal jaringan dan saldo aman .bikin gak nyaman aja,padahal dah lama pakai dana.","konyol banget,kode qris gak bisa di gunakan padahal jaringan dan saldo aman .bikin gak nyaman aja,padahal dah lama pakai dana.",2,1,0,1
"dana skrng kenapa si banyak sekali kendala nya? saya ituloh mau tf uang tapi gabisa di klik kolom ""kirim uang"" dan kolom masukan no rekening/no telefon nya, tolong dong perbaiki lagi kualitas nya!!","dana skrng kenapa si banyak sekali kendala nya? saya ituloh mau tf uang tapi gabisa di klik kolom kirim uang dan kolom masukan no rekening no telefon nya, tolong dong perbaiki lagi kualitas nya!!",3,1,0,1
akun sudah premium sering transaksi tapi untuk dana cicil engga ada,akun sudah premium sering transaksi tapi untuk dana cicil engga ada,2,0,1,0
kok gak ada muncul dana cicilnya,kok gak ada muncul dana cicilnya,2,0,1,0
danacicil nya gak keluar gimana sih ini,danacicil nya gak keluar gimana sih ini,1,0,1,1
"bayar Qris merchant tidak menerima senilai 500 rb,saya chat diana suruh menghubungi CS dana tetapi diarahkan CS sendri mengarahkan kediana balik,seperti dipermainkan pihak dana,sampai menghabiskan uang banyak untuk berkomunikasi pihak dana,uda gak jelas pihak dana 😡","bayar qris merchant tidak menerima senilai 500 rb,saya chat diana suruh menghubungi cs dana tetapi diarahkan cs sendri mengarahkan kediana balik,seperti dipermainkan pihak dana,sampai menghabiskan uang banyak untuk berkomunikasi pihak dana,uda gak jelas pihak dana",1,1,1,1
"saran, tolong di kasih fitur pinjaman, bayar nanti, atau saldo gratis","saran, tolong di kasih fitur pinjaman, bayar nanti, atau saldo gratis",3,0,1,0
kenapa susah di buka dana sayah,kenapa susah di buka dana sayah,2,1,0,1
halo saya mau login dana tapi di mintai kode otp tapi nomor dana saya suda hilang mohon bantuannya ya kak 🙏🙏,halo saya mau login dana tapi di mintai kode otp tapi nomor dana saya suda hilang mohon bantuannya ya kak,1,0,1,0
mengapa sekarang punya dana saya susah dibuka.,mengapa sekarang punya dana saya susah dibuka.,1,1,0,1
