content,cleaned_content,score,accuracy,completeness,satisfaction
selalu error.. banyak akun akun penipuan,selalu error.. banyak akun akun penipuan,1,1,0,1
dana emang kadang2 goblog erorrr trus,dana emang kadang2 goblog erorrr trus,1,1,0,1
"bisa"" nya dana isntan dan dana cicil di akun dana gua ga ada padahal setiap bulan ga kurang dari 10jt",bisa nya dana isntan dan dana cicil di akun dana gua ga ada padahal setiap bulan ga kurang dari 10jt,1,0,1,0
"semakin kesini semakin ga jelas nih apk, baru isi saldo dan belum dipake tiba"" aja saldonya kosong. temenku pun ngalamin hal serupa kyk gini. mending kalo cuma puluhan ribu, ini sampe ratusan ribu anjy","semakin kesini semakin ga jelas nih apk, baru isi saldo dan belum dipake tiba aja saldonya kosong. temenku pun ngalamin hal serupa kyk gini. mending kalo cuma puluhan ribu, ini sampe ratusan ribu anjy",1,1,0,1
"saldo saya di aplikasi dana bugg tidak bisa melakukan penarikan, aplikasi dana makin lama makin tidak jelas saldo hilang tidak ada tanggapan dari pihak dana","saldo saya di aplikasi dana bugg tidak bisa melakukan penarikan, aplikasi dana makin lama makin tidak jelas saldo hilang tidak ada tanggapan dari pihak dana",1,1,1,1
"makin di update makin parah, saldo sering telat masuk padahal transaksi sudah berhasil.","makin di update makin parah, saldo sering telat masuk padahal transaksi sudah berhasil.",1,1,0,1
"di pake buat bayar cicilan ke lising, biasa normal. trus tiba2 aneh. transaksi masa harus nunggu 52 menit. aneh. langsung di batalkan. udah selesai timer nya. ada kendala. disuruh hubungi si Diana. gak ada solusi selain harus nunggu 2 hari. mana ini hari Jumat sekarang. ini kalo urusan gak selesai. uang gak balik atau pembayaran gak berhasil. gua datengin sih langsung ke kantor nya itu😡","di pake buat bayar cicilan ke lising, biasa normal. trus tiba2 aneh. transaksi masa harus nunggu 52 menit. aneh. langsung di batalkan. udah selesai timer nya. ada kendala. disuruh hubungi si diana. gak ada solusi selain harus nunggu 2 hari. mana ini hari jumat sekarang. ini kalo urusan gak selesai. uang gak balik atau pembayaran gak berhasil. gua datengin sih langsung ke kantor nya itu",1,1,1,1
"belakangan ini aplikasi dana mulai ga aman saldo saya hilang tiba"" udah ke 2x nya, dana mulai ga jls","belakangan ini aplikasi dana mulai ga aman saldo saya hilang tiba udah ke 2x nya, dana mulai ga jls",1,1,0,1
transaksi berhasil tp saldo gak masuk ilang gak jelas,transaksi berhasil tp saldo gak masuk ilang gak jelas,1,1,0,1
sangat puas tpi kok tdk bisah pinjam uang ya,sangat puas tpi kok tdk bisah pinjam uang ya,2,0,1,0
"biaya transfer dibebankan ke penerima. banyak orang2 bayar jualan ke no dana aku. kena potong penerima 500 rupiah. bayangin kalo transaksi aku banyak pake dana. merugikan sekali, maaf bintang 1 dulu👋","biaya transfer dibebankan ke penerima. banyak orang2 bayar jualan ke no dana aku. kena potong penerima 500 rupiah. bayangin kalo transaksi aku banyak pake dana. merugikan sekali, maaf bintang 1 dulu",1,0,1,1
"apk ga guna ,,,, ada dana cicil ga bisa di gunakan ,,, sangat buruk pesaratan semua udah di penuhi ,,namun masih saja tidak bisa mengajukan dana cicil","apk ga guna ,,,, ada dana cicil ga bisa di gunakan ,,, sangat buruk pesaratan semua udah di penuhi ,,namun masih saja tidak bisa mengajukan dana cicil",3,1,0,1
tong di ferifikasi kan dana saya bos,tong di ferifikasi kan dana saya bos,1,1,0,0
buruk.. aplikasi ga guna,buruk.. aplikasi ga guna,1,0,0,1
"SINYAL BAGUS , APLIKASI DANA NGELAG MULU 100%","sinyal bagus , aplikasi dana ngelag mulu 100",1,1,0,1
"Kenapa login harus pake otp wa/sms lagi,no dana saya udh ga aktif,jadi ga bisa login karena gaada otp,,,tolong dong di perbaiki,,Jngn di bikin ribet,,gaji saya di situ semua,,jadinya ga bisa di tarikk ,,,,jngn bikin kecewaa","kenapa login harus pake otp wa sms lagi,no dana saya udh ga aktif,jadi ga bisa login karena gaada otp,,,tolong dong di perbaiki,,jngn di bikin ribet,,gaji saya di situ semua,,jadinya ga bisa di tarikk ,,,,jngn bikin kecewaa",1,0,1,1
"tolong apk nya di perbaiki lgi,masa mau TF harus nunggu 24 jam!!!lgi butuh banget,malah di buat pending,KLO emng gagal TF nya ywdh balikin aja langsung saldonya,ini udh kepotong saldo dibuat pending pula!!TOLONG DIPERBAIKI LGII!!","tolong apk nya di perbaiki lgi,masa mau tf harus nunggu 24 jam!!!lgi butuh banget,malah di buat pending,klo emng gagal tf nya ywdh balikin aja langsung saldonya,ini udh kepotong saldo dibuat pending pula!!tolong diperbaiki lgii!!",2,1,0,1
bng gmn ini masa qrs nya elor terus daritadi ga bisa bisa,bng gmn ini masa qrs nya elor terus daritadi ga bisa bisa,1,1,0,1
"APLIKASI DONGO NGELINDUNGIN TOKO PENIPU, UDAH JELAS JELAS DIKASIH BUKTI PENIPUAN MASIH AJA DILINDUNGI","aplikasi dongo ngelindungin toko penipu, udah jelas jelas dikasih bukti penipuan masih aja dilindungi",1,0,1,1
"di orang2 ada fitur dana cicil nya.. di saya kok gak ada ... tolong bantu saya , saya ingin juga menggunakan dana cicil tapi tidak ada fitur nya","di orang2 ada fitur dana cicil nya.. di saya kok gak ada ... tolong bantu saya , saya ingin juga menggunakan dana cicil tapi tidak ada fitur nya",2,0,1,0
"Sangat menyebalkan 😠 saya tidak pernah punya cicilan di dana, tapii malah uang saya di dana di potong tanpa sepengetahuan saya. Saya bingung dengan aplikasi dana. Saya merasa tidak permah melakukan cicilan, malah saya kena cicilan di aplikasi ini. Saya mau uninstal saja aplikasi dana. Sangat mengecewakan 😤","sangat menyebalkan saya tidak pernah punya cicilan di dana, tapii malah uang saya di dana di potong tanpa sepengetahuan saya. saya bingung dengan aplikasi dana. saya merasa tidak permah melakukan cicilan, malah saya kena cicilan di aplikasi ini. saya mau uninstal saja aplikasi dana. sangat mengecewakan",1,1,0,1
kenapa akun dana saya log out sendiri pas mau login lagi gak bisa dgn catatan sistem sedang terkendala gitu terus mana baru isi saldo lagi tolong dong di kembalikan akun saya,kenapa akun dana saya log out sendiri pas mau login lagi gak bisa dgn catatan sistem sedang terkendala gitu terus mana baru isi saldo lagi tolong dong di kembalikan akun saya,1,1,0,1
saya membuat akun dana bisnis dan disuruh menunggu proses pembuatan kris sampe 4-7 hari tapi sampai 14 hari tidak jadi juga.,saya membuat akun dana bisnis dan disuruh menunggu proses pembuatan kris sampe 4 7 hari tapi sampai 14 hari tidak jadi juga.,1,1,1,1
Woee gua bayar qris gabisa trus malah ilang duit gua 100K balikin! gimana ini tiba tiba ilang duit gua!,woee gua bayar qris gabisa trus malah ilang duit gua 100k balikin! gimana ini tiba tiba ilang duit gua!,1,1,0,1
saldo dana terakhir 30000 saya topup 50000 harusnya jd 80000 ini malah yg 30000 hilang kemana g jelas .....,saldo dana terakhir 30000 saya topup 50000 harusnya jd 80000 ini malah yg 30000 hilang kemana g jelas .....,1,1,0,1
customer service bego gak membantu sama sekali,customer service bego gak membantu sama sekali,1,0,1,1
dana cicil nya gak ada ini,dana cicil nya gak ada ini,1,0,1,0
"ga bisa tukarkan point kita sesuka hati,, pdahal kita transaksi cape2 buat ngumpulin point apa fungsinya..","ga bisa tukarkan point kita sesuka hati,, pdahal kita transaksi cape2 buat ngumpulin point apa fungsinya..",2,1,0,1
hati hati deh pake dana saldo ilang muluh ngelag gabisa tau uangnya hilang buat ap,hati hati deh pake dana saldo ilang muluh ngelag gabisa tau uangnya hilang buat ap,1,1,0,1
5000 point tidak bisa di tukar. kenapa ?,5000 point tidak bisa di tukar. kenapa ?,2,1,0,0
ribet no sudah tidak aktiv susah banget mana no KTP sudah masuk,ribet no sudah tidak aktiv susah banget mana no ktp sudah masuk,1,0,1,1
"aplikasi eror keluar terus, mau transaksi pembayaran jadi susah..maff turun bintang","aplikasi eror keluar terus, mau transaksi pembayaran jadi susah..maff turun bintang",1,1,0,1
APLIKASI YANG SANGAT GAMPANG DI BAJAK,aplikasi yang sangat gampang di bajak,1,0,1,1
apk gajelas saldo udah kepotong terus pending nya lama,apk gajelas saldo udah kepotong terus pending nya lama,1,1,0,1
"sudah DM Facebook ,bTwitter Masi aja ga ada yang respon , saya cuma butuh kejelasan.. uang saya belum balik , tolong di bantu","sudah dm facebook ,btwitter masi aja ga ada yang respon , saya cuma butuh kejelasan.. uang saya belum balik , tolong di bantu",1,1,1,1
dana macam tak berguna,dana macam tak berguna,1,0,0,1
dana kintol limit cuman 40 jt,dana kintol limit cuman 40 jt,1,0,1,1
ada apa dengan dana🥹🥹,ada apa dengan dana,1,0,0,1
"gimana lah aplikasi ini tiba"" akun dana di tangguhkan",gimana lah aplikasi ini tiba akun dana di tangguhkan,1,1,0,1
jaringan bagus juga gagal terus transaksinya malah peringatan banyak yang transaksi gmna sih ga bagus dan tiba tiba saldo saya ngga ada dan di riwayat transaksi pun ngga ada itu uangnya kmna tolong dong DANA gmna ini,jaringan bagus juga gagal terus transaksinya malah peringatan banyak yang transaksi gmna sih ga bagus dan tiba tiba saldo saya ngga ada dan di riwayat transaksi pun ngga ada itu uangnya kmna tolong dong dana gmna ini,1,1,0,1
tolong dong untuk ftur dana cicil nya di saya nggak berfungsi zonk percuma ketemu limit keluar tapi maj gunakannya malah tidak bisa deskripsi (sedang tidak tersedia) coba ke qr mana pun atau pulsa dll nya pun tetap nggak bisa uhhhhhh,tolong dong untuk ftur dana cicil nya di saya nggak berfungsi zonk percuma ketemu limit keluar tapi maj gunakannya malah tidak bisa deskripsi sedang tidak tersedia coba ke qr mana pun atau pulsa dll nya pun tetap nggak bisa uhhhhhh,1,1,0,1
parah dana cicil tidak bisa di pakai padahal saldo ada,parah dana cicil tidak bisa di pakai padahal saldo ada,1,1,0,1
kurang puas karena dana playlater ga ada,kurang puas karena dana playlater ga ada,2,0,1,1
mengecewakan ribuan kali aktivasi dana cicil selalu gagal,mengecewakan ribuan kali aktivasi dana cicil selalu gagal,1,1,0,1
semenjak dana premium saldo ku ke kuras semua!!!,semenjak dana premium saldo ku ke kuras semua!!!,1,1,0,1
hari ini dana lagi knpa nih ko buat qris gak bisa,hari ini dana lagi knpa nih ko buat qris gak bisa,2,1,0,1
