content,cleaned_content,score,accuracy,completeness,satisfaction
"percuma kita daftar pakai KTP dan scan wajah,saldo kita tetap hilang juga ,apa guna nya , saldo kita hilang di ambil oleh orang orang yang kerja di dana","percuma kita daftar pakai ktp dan scan wajah,saldo kita tetap hilang juga ,apa guna nya , saldo kita hilang di ambil oleh orang orang yang kerja di dana",1,1,0,1
"saya bayar pake QRIS dari aplikasi dana sudah masuk tapi merchant belum menerima dana itu, saya lapor cs DANA waduuhhhh masa harus nunggu 18 hari parah nih DANA. lebih baik jangan pake Ewallet nyesel saya.","saya bayar pake qris dari aplikasi dana sudah masuk tapi merchant belum menerima dana itu, saya lapor cs dana waduuhhhh masa harus nunggu 18 hari parah nih dana. lebih baik jangan pake ewallet nyesel saya.",1,1,1,1
karna aku transfer ke Tokopedia berhasil tapi gak masuk,karna aku transfer ke tokopedia berhasil tapi gak masuk,1,1,0,0
saldo tiba tiba di bekukan tampa sebab,saldo tiba tiba di bekukan tampa sebab,1,1,0,0
jangan donlod dana sebelum anda nyesel dana enga aman udah 2 kali nedot gak punya hutang atau lain sebagainya tapi nyedot,jangan donlod dana sebelum anda nyesel dana enga aman udah 2 kali nedot gak punya hutang atau lain sebagainya tapi nyedot,1,1,0,1
saldo tiba-tiba terpotong padahal sudah berhenti berlangganan di aplikasi vidio,saldo tiba tiba terpotong padahal sudah berhenti berlangganan di aplikasi vidio,1,1,0,0
lambat dan lemot membukanya,lambat dan lemot membukanya,2,1,0,1
sering bertransaksi setiap harinya tapi tidak pernah dapat fitur DANA CICIL ataupun DANA DARURAT,sering bertransaksi setiap harinya tapi tidak pernah dapat fitur dana cicil ataupun dana darurat,2,0,1,0
"ya tuhan susah betul. untuk pemindahan akun atau pengganti an nomor karena kartu hp saya hilang, dan tidak bisa uang sudah tertahan diakun dana. apakah jaminan uang kembali itu hoax aja diakun dana sdh berapa kali mencoba sampai sekarang juga gak bisa pihak dana plisss kasih nomor wa yang resmi. bisa saya hubungi","ya tuhan susah betul. untuk pemindahan akun atau pengganti an nomor karena kartu hp saya hilang, dan tidak bisa uang sudah tertahan diakun dana. apakah jaminan uang kembali itu hoax aja diakun dana sdh berapa kali mencoba sampai sekarang juga gak bisa pihak dana plisss kasih nomor wa yang resmi. bisa saya hubungi",2,1,1,1
knapa ga bisa ngirim uang lewat Qris eror mulu,knapa ga bisa ngirim uang lewat qris eror mulu,1,1,0,1
"selalu ada kendala susah tarik tunai,,, operator juga ga bisa cepat menyelesaikan nya..","selalu ada kendala susah tarik tunai,,, operator juga ga bisa cepat menyelesaikan nya..",1,1,1,1
apasih mau narik dana malah eror terus,apasih mau narik dana malah eror terus,1,1,0,1
Perhatian !!! Dihimbaukan kepada seluruh Nasabah pengguna Aplikasi DANA agar berhati hati menggunakan Aplikasi ini. Karena Aplikasi TUYUL ini Maling / Rampok BERKEDOK Bank Digital yg dapat mencuri dan merampok Uang / Saldo pada Akun DANA kita . Dengan modus telah terjadi transaksi pembelian pulsa dsb . Faktanya transaksi tersebut bukan kita yg melakukan nya dan bukan berasal dari perangkat kita sebagai pemilik Akun DANA yg Sah. Aplikasi ini sangat merugikan dan menyengsarakan Nasabah nya.,perhatian !!! dihimbaukan kepada seluruh nasabah pengguna aplikasi dana agar berhati hati menggunakan aplikasi ini. karena aplikasi tuyul ini maling rampok berkedok bank digital yg dapat mencuri dan merampok uang saldo pada akun dana kita . dengan modus telah terjadi transaksi pembelian pulsa dsb . faktanya transaksi tersebut bukan kita yg melakukan nya dan bukan berasal dari perangkat kita sebagai pemilik akun dana yg sah. aplikasi ini sangat merugikan dan menyengsarakan nasabah nya.,1,1,0,1
kenapa sekarang login dana harus pakai kode OTP segala..sedangkan nomor sudah tidak aktif,kenapa sekarang login dana harus pakai kode otp segala..sedangkan nomor sudah tidak aktif,1,1,1,0
apa nggk bisa di ganti pake bahasa Indonesia mint?,apa nggk bisa di ganti pake bahasa indonesia mint?,3,0,1,0
aplikasi tolol banyak eror😹😹😹😹😹😹,aplikasi tolol banyak eror,1,1,0,1
ngasih fitur pijaman pilih2 akun gk jelas banget sekalian aja gk usah di kasih semua fitur pinjaman,ngasih fitur pijaman pilih2 akun gk jelas banget sekalian aja gk usah di kasih semua fitur pinjaman,1,0,1,1
dana cicil gak bisa d gunakan percuma..,dana cicil gak bisa d gunakan percuma..,1,1,0,1
customer nya lelet banget,customer nya lelet banget,1,0,1,1
verifikasi wajah dana bisnis selalu gagal padahal pemilik akun dan ktp terdaftar di dana tapi verifikasi wajah selalu gagal dan chat bot Diana membantu tidak pernah berhasil selalu masih sama aja ketika komplain tolong di perbaiki lagi fitur bot ai nya agar bisa mendetect wajah dengan baik,verifikasi wajah dana bisnis selalu gagal padahal pemilik akun dan ktp terdaftar di dana tapi verifikasi wajah selalu gagal dan chat bot diana membantu tidak pernah berhasil selalu masih sama aja ketika komplain tolong di perbaiki lagi fitur bot ai nya agar bisa mendetect wajah dengan baik,1,1,1,1
"ga berguna, uangku hilang gara"" apk ini udah cari bantuan ke DIANA tpi ngga ada pergerakan, males banget mending pindah sekali seumur hidup aja diginiin","ga berguna, uangku hilang gara apk ini udah cari bantuan ke diana tpi ngga ada pergerakan, males banget mending pindah sekali seumur hidup aja diginiin",1,1,1,1
tolong apps DANA sy tidak bisa dibuka..bagaimana caranya tolong kasih solusinya,tolong apps dana sy tidak bisa dibuka..bagaimana caranya tolong kasih solusinya,3,1,0,0
"kok gk bisa dibuka aplikasinya,padahal udah diupdate tapi tetap gk bisa dibuka. dibuka kembali lagi loadingnya lambat. mohon bantuannya","kok gk bisa dibuka aplikasinya,padahal udah diupdate tapi tetap gk bisa dibuka. dibuka kembali lagi loadingnya lambat. mohon bantuannya",3,1,0,0
saya transaksi berjuta juta setiap bulan nya.tidak ada cicilan tidak angsuran/kredit tapi menu dana cicil saya tidak ada.bahkan kawan yg baru download bisa dapat limit 150 ribu.bintang 1 eh,saya transaksi berjuta juta setiap bulan nya.tidak ada cicilan tidak angsuran kredit tapi menu dana cicil saya tidak ada.bahkan kawan yg baru download bisa dapat limit 150 ribu.bintang 1 eh,1,0,1,1
semakin hari semakin parah. setiap qris selalu blast logout sendiri,semakin hari semakin parah. setiap qris selalu blast logout sendiri,1,1,0,1
"sa malas sekali pas sa saat main bubble CROS toh pas sa ada mo tarik uang tinggal lihat memproses de PU proses dan itu pas sa lihat notifikasi di dana begitu dong bilang saldo sudah di terima baru begini sa mo top up koin tiktok pas mo masuk pembayaran macam bagaimana eee dong bilang harus isi saldo maksudnya sa su terima saldo 50 ribu nih baru barang itu dong bilang belum Isi kh 😭 tlong untuk dana kh,","sa malas sekali pas sa saat main bubble cros toh pas sa ada mo tarik uang tinggal lihat memproses de pu proses dan itu pas sa lihat notifikasi di dana begitu dong bilang saldo sudah di terima baru begini sa mo top up koin tiktok pas mo masuk pembayaran macam bagaimana eee dong bilang harus isi saldo maksudnya sa su terima saldo 50 ribu nih baru barang itu dong bilang belum isi kh tlong untuk dana kh,",1,1,0,1
