content,cleaned_content,score,accuracy,completeness,satisfaction
cara mengaktifkan kan dana instan gimna ya,cara mengaktifkan kan dana instan gimna ya,3,0,0,0
"kendala + masalah top up. lewat BRImo dan berhasil mutasinya pun ada tapi saldo di apk dana ga ada, kosong. di dana aktifitas top up pun ada dan berhasil tapi saldo hilang ntah kemana. coba hubungi bantuan juga ga bisa kecewa banget si sama ni apk, padahal make dana udah lama. KECEWA. GAADA RESPON BANTUAN SAMA SEKALI.","kendala masalah top up. lewat brimo dan berhasil mutasinya pun ada tapi saldo di apk dana ga ada, kosong. di dana aktifitas top up pun ada dan berhasil tapi saldo hilang ntah kemana. coba hubungi bantuan juga ga bisa kecewa banget si sama ni apk, padahal make dana udah lama. kecewa. gaada respon bantuan sama sekali.",1,1,1,1
"SARAN AJA NIH, GAUSAH PAKE APK INI LAGI AJA, PINDAH KE SEABANK KALO GAK GO PAY AJA, INI APK GAJELAS, TF GAK BISA TIBA TIBA KELUAR SENDIRI, DUIT KADANG BERKURANG GAKJELAS, SADAR BUAT LU SEMUA MENDING GANTI AJA JANGAN PAKE DANA LAGI","saran aja nih, gausah pake apk ini lagi aja, pindah ke seabank kalo gak go pay aja, ini apk gajelas, tf gak bisa tiba tiba keluar sendiri, duit kadang berkurang gakjelas, sadar buat lu semua mending ganti aja jangan pake dana lagi",1,1,0,1
"dana cicil nggak muncul, padahal transaksi udah bnyak","dana cicil nggak muncul, padahal transaksi udah bnyak",2,0,1,1
apa kah lagi eror dana,apa kah lagi eror dana,1,1,0,0
update malah susah login ny,update malah susah login ny,1,1,0,1
"tolong di perbaiki lagi kak. kadang kadang mau ngirim bisa error, Qris nya juga bermasalah","tolong di perbaiki lagi kak. kadang kadang mau ngirim bisa error, qris nya juga bermasalah",1,1,0,1
kenapa tidak ada fitur untuk mengembalikan uang yang salah transfer nomor dana plis uang ku ga bisa ku ambil lagi udah masuk ke nomor dana yang salah ku telpon nomornya tapi tidak menjawab plis kasih saran agar uang itu kembali,kenapa tidak ada fitur untuk mengembalikan uang yang salah transfer nomor dana plis uang ku ga bisa ku ambil lagi udah masuk ke nomor dana yang salah ku telpon nomornya tapi tidak menjawab plis kasih saran agar uang itu kembali,1,0,1,1
poin dana saya hilang semua tanpa aebab rugi,poin dana saya hilang semua tanpa aebab rugi,1,1,0,1
mau ngirim TPI tombol transfernya GK mau terpencet ck,mau ngirim tpi tombol transfernya gk mau terpencet ck,1,1,0,1
INI GIMNA TOLOL GABISA LOGIN GUA,ini gimna tolol gabisa login gua,1,1,0,1
"lebih baik di hapus dari pada sakit hati kerna orang orang pada dapet dana cicil tapi gua yg udah ber tahun2 pake dana kaga dapet dana cicil,kalo di hitung2 udah abis puluhan juta gua transaksi pake dana!!!","lebih baik di hapus dari pada sakit hati kerna orang orang pada dapet dana cicil tapi gua yg udah ber tahun2 pake dana kaga dapet dana cicil,kalo di hitung2 udah abis puluhan juta gua transaksi pake dana!!!",1,0,1,1
mau mengaktifkan dana instan dan dana cicil aja tidak bisa .. padahal sudah saya upgrade.. tolong bantuany,mau mengaktifkan dana instan dan dana cicil aja tidak bisa .. padahal sudah saya upgrade.. tolong bantuany,2,1,0,1
dana instan tempat ku ko nga ada min padahal susah ku update,dana instan tempat ku ko nga ada min padahal susah ku update,2,0,1,1
tidak bisa menambahkan kartu debit bri di aplikasi dana,tidak bisa menambahkan kartu debit bri di aplikasi dana,3,1,0,1
"tolong dibenerin lagi, dri dulu dana cicil garibet dimakrk ya, tp skrng knp gabisa, pakek disuruh nanya2 segala se adminnya gajlls pula jawabannya. bener2 kecewa, udah mau mutusin gaakan makek dana lagi...","tolong dibenerin lagi, dri dulu dana cicil garibet dimakrk ya, tp skrng knp gabisa, pakek disuruh nanya2 segala se adminnya gajlls pula jawabannya. bener2 kecewa, udah mau mutusin gaakan makek dana lagi...",1,1,1,1
