content,cleaned_content,score,accuracy,completeness,satisfaction
saya mentransfer uang malah masih di proses,saya mentransfer uang malah masih di proses,1,1,0,0
"Aplikasi Sampah, Tidak bisa menjaga uang Client,Difitur pembayaran otomatis tidak ada konfirmasi 2x jika benar benar ingin berlangganan di website Dengan metode pembayaran dana Melalui Goggle Pay","aplikasi sampah, tidak bisa menjaga uang client,difitur pembayaran otomatis tidak ada konfirmasi 2x jika benar benar ingin berlangganan di website dengan metode pembayaran dana melalui goggle pay",1,0,1,1
"apk ny sih bgus, tapi knpa kalau mau lihat transaksi gk bisa bisa","apk ny sih bgus, tapi knpa kalau mau lihat transaksi gk bisa bisa",3,1,0,0
apa2an dana ni. gua mau ngirim uang ngak bisa2,apa2an dana ni. gua mau ngirim uang ngak bisa2,1,1,0,1
gjls jir duit gw tiba-tiba ilang sejuta lebih tapi gada pertanggungjawaban nya dri pihak dana,gjls jir duit gw tiba tiba ilang sejuta lebih tapi gada pertanggungjawaban nya dri pihak dana,1,1,0,1
"kak ini Uda coba masuk dana uda masukin nomer juga nah habis itu loading terus keluar sendiri dari apk nya sama ada tulisan ""dana telah berhenti"" disitu uda coba berbagai cara tapi tetep ajaa sama uda diulangi beberapa kali juga sampe unistal dana trs download lagi dan sampe berulang kali tetep Kya gitu, sebelumnya di hp satunya aman' aja lancar banget pas masuk tapi tiba' yang di hp ini banyak kendalanya mau masuk tiba' keluar sendiri sama ada tulisan ""dana telah berhenti"" 🔒","kak ini uda coba masuk dana uda masukin nomer juga nah habis itu loading terus keluar sendiri dari apk nya sama ada tulisan dana telah berhenti disitu uda coba berbagai cara tapi tetep ajaa sama uda diulangi beberapa kali juga sampe unistal dana trs download lagi dan sampe berulang kali tetep kya gitu, sebelumnya di hp satunya aman aja lancar banget pas masuk tapi tiba yang di hp ini banyak kendalanya mau masuk tiba keluar sendiri sama ada tulisan dana telah berhenti",1,1,0,0
aplikasi rusak saldo hilang sendiri,aplikasi rusak saldo hilang sendiri,1,1,0,0
"bagi"" hadiah adalah modus buat nguras saldo kita.",bagi hadiah adalah modus buat nguras saldo kita.,1,0,0,1
susah sekali mau hapus akun dana,susah sekali mau hapus akun dana,1,0,0,1
akun dana bisnis saya.uang masuk ke penampungan qris. tapi waktu di tarik g bisa dgn alasan perlu verifikasi ulamg. sdh isi formulir 5 hari lebih ttp g ada kejelasan . uang nya ngendap g bisa buat muter usaha. parah memang. klo g bisa ditarik nonaktifkan juga qris nya biar org bayar ke kita g masuk. ini sdh masuk tapi g bisa di tarok,akun dana bisnis saya.uang masuk ke penampungan qris. tapi waktu di tarik g bisa dgn alasan perlu verifikasi ulamg. sdh isi formulir 5 hari lebih ttp g ada kejelasan . uang nya ngendap g bisa buat muter usaha. parah memang. klo g bisa ditarik nonaktifkan juga qris nya biar org bayar ke kita g masuk. ini sdh masuk tapi g bisa di tarok,1,1,0,1
Aplikasi Penipu.. transaksi gagal tapi saldo tetap terpotong dan tidak bisa kembali. sudah buat laporan sana sini tapi tidak ada kejelasan. Customer service isinya robot ai. saya perlu bicara sama manusia,aplikasi penipu.. transaksi gagal tapi saldo tetap terpotong dan tidak bisa kembali. sudah buat laporan sana sini tapi tidak ada kejelasan. customer service isinya robot ai. saya perlu bicara sama manusia,1,1,1,1
"kembalikan uang saya, dasar maling..!!!!","kembalikan uang saya, dasar maling..!!!!",1,1,0,1
Mudah Ngeleg apk nya....,mudah ngeleg apk nya....,1,1,0,0
saya vrifasi wajah gagal apa bisa login dengan kode otp,saya vrifasi wajah gagal apa bisa login dengan kode otp,3,1,1,0
"kenapa ada kendala tidak bisa tarik saldo dana goals, kecewa banget ada saldo banyak di dana goals nya","kenapa ada kendala tidak bisa tarik saldo dana goals, kecewa banget ada saldo banyak di dana goals nya",1,1,0,1
Akun saya tiba² di bekukan! minta di aktifin kembali pun tdk bisa,akun saya tiba di bekukan! minta di aktifin kembali pun tdk bisa,1,1,0,0
plis dana kembalikan uang saya yg di dana golds tidak bisa ditarik,plis dana kembalikan uang saya yg di dana golds tidak bisa ditarik,1,1,0,0
kurang sip bisa dijebol,kurang sip bisa dijebol,2,1,0,1
ini gimana sih kok saya gabisa aktivasi ulang dana cicil.. kalo emang ga niat ngasih yaa gausah begini lah,ini gimana sih kok saya gabisa aktivasi ulang dana cicil.. kalo emang ga niat ngasih yaa gausah begini lah,1,1,0,1
jaringan sudah kuat tpi knapa di tanyakan msalah jaringan trus...gagal daftar,jaringan sudah kuat tpi knapa di tanyakan msalah jaringan trus...gagal daftar,1,1,0,0
buka aplikasiny susah banget,buka aplikasiny susah banget,3,1,0,1
Kenapa aplikasii danaa top up darii bank saldo udh d potong darii mbanking. tpii d dana nya saldo ngak masukk. tapii historii nya add.. ngblang danaa,kenapa aplikasii danaa top up darii bank saldo udh d potong darii mbanking. tpii d dana nya saldo ngak masukk. tapii historii nya add.. ngblang danaa,3,1,0,0
"APK PENYEDOT UANG,,ATI ATI CUY,,900K ILANG GITU AJA,PROSES PENGEMBALIANNYA CUMA OMON2","apk penyedot uang,,ati ati cuy,,900k ilang gitu aja,proses pengembaliannya cuma omon2",1,1,0,1
"tolong notifikasi nya balikin ke yg lama, sangat buruk notif yg baru saya pikir HP saya rusak ternyata notif dana🥲😠","tolong notifikasi nya balikin ke yg lama, sangat buruk notif yg baru saya pikir hp saya rusak ternyata notif dana",3,0,0,1
sering ngelag apk nya pdhal sinyalnya bagus,sering ngelag apk nya pdhal sinyalnya bagus,1,1,0,0
"saldo gw tiba tiba ilang woyyyy udah 2 kali ilang padahal enggak di pake apa apa, jelek bangettt😮‍💨😮‍💨😮‍💨","saldo gw tiba tiba ilang woyyyy udah 2 kali ilang padahal enggak di pake apa apa, jelek bangettt",1,1,0,1
"gara gara aplikasi ini saya gabisa lagi beli apa apa muali top ap game beli aplikasi ga bisa uang ku di kurung gabisa diambil lagi alasan ""eror dengan alasan Dana menolak karena transansi melebihi batas"" padahal saya punya saldo 40.000RP dan saya membeli aplikasi atau top ap 16.000 doang lo gimana ini hah saya rugi besar ini mending di hapus selama lamanya dari play store apa coba saya kecewa berat sungguh kecewa hampir nangis saya karna rugi",gara gara aplikasi ini saya gabisa lagi beli apa apa muali top ap game beli aplikasi ga bisa uang ku di kurung gabisa diambil lagi alasan eror dengan alasan dana menolak karena transansi melebihi batas padahal saya punya saldo 40.000rp dan saya membeli aplikasi atau top ap 16.000 doang lo gimana ini hah saya rugi besar ini mending di hapus selama lamanya dari play store apa coba saya kecewa berat sungguh kecewa hampir nangis saya karna rugi,1,1,0,1
ka bisa di cek ka saya mo kasih premium tapi lama banget tolong di cek ka akun saya,ka bisa di cek ka saya mo kasih premium tapi lama banget tolong di cek ka akun saya,1,1,0,0
aneh mau scan barcode gak bisa gak bagus pokok nya,aneh mau scan barcode gak bisa gak bagus pokok nya,1,1,0,1
sekarang buat isi token listrik eror mulu..buka menu aktifitas juga susah.,sekarang buat isi token listrik eror mulu..buka menu aktifitas juga susah.,1,1,0,1
tak bisa update .pembaharuan,tak bisa update .pembaharuan,1,1,0,0
aplikasi aneh.. dana cicil verifikasi muka slalu gagal,aplikasi aneh.. dana cicil verifikasi muka slalu gagal,1,1,0,1
"SUDAH ISI FORMULIR KESEPAKATAN KOMPENSASI TAPI CUSTOMER SERVICE TDK MENANGGAPI SAMA SEKAL SISTEM TRLALU SAMPAH KRJA YG BENER CUSTOMER SERVICE JAWABAN NYA ITU"" SAJA TIDAK MEMBERI SOLUSI",sudah isi formulir kesepakatan kompensasi tapi customer service tdk menanggapi sama sekal sistem trlalu sampah krja yg bener customer service jawaban nya itu saja tidak memberi solusi,1,1,0,1
"Saya sudah, premium tagihan lainnya tidak, bertransaksi setiap harinya, update terus dan menunggunya 30 hari teruss. Apakah alasannya saya tidak di setujui mendapatkan fitur dana cicil. dasar aplikasi bangkai tikus","saya sudah, premium tagihan lainnya tidak, bertransaksi setiap harinya, update terus dan menunggunya 30 hari teruss. apakah alasannya saya tidak di setujui mendapatkan fitur dana cicil. dasar aplikasi bangkai tikus",1,0,1,1
gak usah kebanyakan tingkah lah. apk dana gaguan pulak,gak usah kebanyakan tingkah lah. apk dana gaguan pulak,1,1,0,1
tolong di tingkat kan kinerja nya jangan sampai mental kalo di pake...,tolong di tingkat kan kinerja nya jangan sampai mental kalo di pake...,2,1,0,0
ah masa tiba tiba jaringan bermasalah sebelumnya lancar parah ini sistemnya kalau begini,ah masa tiba tiba jaringan bermasalah sebelumnya lancar parah ini sistemnya kalau begini,1,1,0,1
"ok karena masalah sudah di perbaiki saya tambah 2 bintang,","ok karena masalah sudah di perbaiki saya tambah 2 bintang,",3,0,0,0
Aplikasi nya payah udah memenuhi persyaratan udah menunggu 30 hari sering bertransaksi mana buktinya katanya bakal muncul fitur DANA CICIL,aplikasi nya payah udah memenuhi persyaratan udah menunggu 30 hari sering bertransaksi mana buktinya katanya bakal muncul fitur dana cicil,1,0,1,1
"kenapa nomer dana saya lama saya tidak bisa di aktipkan ,,,,katanya tunggu 3 hari kerja,,,sudah 1 Minggu lebih tidak ada hasilnya,,,,apa aplikasi ini mau menipu rakyat","kenapa nomer dana saya lama saya tidak bisa di aktipkan ,,,,katanya tunggu 3 hari kerja,,,sudah 1 minggu lebih tidak ada hasilnya,,,,apa aplikasi ini mau menipu rakyat",1,1,0,1
"akun dana saya tidak bisa di buka pakai kata sandi / verifikasi wajah gimana ini ,harus pakai kode otp sedangkan kartu saya sudah tidak aktip ???","akun dana saya tidak bisa di buka pakai kata sandi verifikasi wajah gimana ini ,harus pakai kode otp sedangkan kartu saya sudah tidak aktip ???",1,1,1,0
Jangan nyimpen uang disini beresiko. Adminnya hanya chat bot saja bingung komplain kemana coba,jangan nyimpen uang disini beresiko. adminnya hanya chat bot saja bingung komplain kemana coba,2,0,1,1
"tiba tiba ada transaksi dari ifonetool padahal kita gapernah berlangganan edit, sama sekali belum pernah beli/berlangganan bahkan gapunya akun nya, udah beberapa user dana yang kena juga🙏","tiba tiba ada transaksi dari ifonetool padahal kita gapernah berlangganan edit, sama sekali belum pernah beli berlangganan bahkan gapunya akun nya, udah beberapa user dana yang kena juga",1,1,0,0
dana ngebug mulu saya sudah premium tapi gak bisa bikin dana bisnis malah di suruh premium lagi padahal saya sudah premium tolong di perbaiki,dana ngebug mulu saya sudah premium tapi gak bisa bikin dana bisnis malah di suruh premium lagi padahal saya sudah premium tolong di perbaiki,2,1,0,0
sangat buruk apk ini apa lg raksa dana sangat buruk,sangat buruk apk ini apa lg raksa dana sangat buruk,1,0,0,1
"Tolong diperbaiki kembali, saya beberapa hari yg lalu pakai dana. Tp hari ini masuknya susah, gagal terus dan ada peringatan bahwa akunnya lama tidak digunakan. Padahal beberapa taun ini pakai dana buat nabung juga. Jangan dibikin deg-degan dong tolong ada cs yg mudah dihubungi, diana terkadang ga respon. masa website jg gada informasi cs yg bisa dihubungi","tolong diperbaiki kembali, saya beberapa hari yg lalu pakai dana. tp hari ini masuknya susah, gagal terus dan ada peringatan bahwa akunnya lama tidak digunakan. padahal beberapa taun ini pakai dana buat nabung juga. jangan dibikin deg degan dong tolong ada cs yg mudah dihubungi, diana terkadang ga respon. masa website jg gada informasi cs yg bisa dihubungi",3,1,1,1
saya lupa pin tapi di pindah kan ke verifikasi wajah . tetapi verifikasi wajah slalu gagal . apakah ada cara lain untuk login . kenapa ngak di mintak kode otp,saya lupa pin tapi di pindah kan ke verifikasi wajah . tetapi verifikasi wajah slalu gagal . apakah ada cara lain untuk login . kenapa ngak di mintak kode otp,3,1,1,0
"tolong dong di perbaikin lagi, mau ambil uang di dabis malah load mulu, tf load lama, chat bot juga lama padahal jaringan lancar² aja. temen gua juga kehilangan 3jt gegara dabis sering error","tolong dong di perbaikin lagi, mau ambil uang di dabis malah load mulu, tf load lama, chat bot juga lama padahal jaringan lancar aja. temen gua juga kehilangan 3jt gegara dabis sering error",1,1,0,0
"kenapa aplikasi dana saya gak bisa kebuka yaa , biasa nya gak kaya gini 😩","kenapa aplikasi dana saya gak bisa kebuka yaa , biasa nya gak kaya gini",3,1,0,0
"cuma mau narik dari dana bisnis harus nunggu 4 hari, padahal narik dari dana ke dana? dasar payah!","cuma mau narik dari dana bisnis harus nunggu 4 hari, padahal narik dari dana ke dana? dasar payah!",1,0,1,1
