content,cleaned_content,score,accuracy,completeness,satisfaction
"uang saya tiba-tiba diambil mansa limited, padahal sama sekali ngga pernah berlangganan , dilihat akun terhubung cuma ada netflix ngga ada mansa limited, proteksi aplikasinya ga aman, culun,padahal saya udah pake aplikasi ini dari 5 tahun lalu, tapi aplikasi ini ngga ada cara buat solusi menyelesaikannya, udah pake customer service juga ga bisa bantu, aplikasi bodoh","uang saya tiba tiba diambil mansa limited, padahal sama sekali ngga pernah berlangganan , dilihat akun terhubung cuma ada netflix ngga ada mansa limited, proteksi aplikasinya ga aman, culun,padahal saya udah pake aplikasi ini dari 5 tahun lalu, tapi aplikasi ini ngga ada cara buat solusi menyelesaikannya, udah pake customer service juga ga bisa bantu, aplikasi bodoh",1,1,1,1
"saya ingin masuk ke akun saya, mengapa selalu salah di sandi padahal sandi saya sudah benar","saya ingin masuk ke akun saya, mengapa selalu salah di sandi padahal sandi saya sudah benar",2,1,0,0
apk gak jelas transaksi dikit aja eror tol,apk gak jelas transaksi dikit aja eror tol,1,1,0,1
"sedikit kecewa, investasi emas disini nggak bisa dicetak fisik, cuma bisa diprovensi tertentu.","sedikit kecewa, investasi emas disini nggak bisa dicetak fisik, cuma bisa diprovensi tertentu.",3,0,1,1
"udah lebih dari 2 tahun pakai dana tapi cuman di akun saya GK ada akses dana cicil ,padahal suda premium aplikasi jelek","udah lebih dari 2 tahun pakai dana tapi cuman di akun saya gk ada akses dana cicil ,padahal suda premium aplikasi jelek",1,0,1,1
saya kecewa.dengan aplikasi ini.saldo saya sering hilang.aplikasi dana sudah tidak aman lagi.kawan2 jangan donlow aplikasi ini kalau tidak mau kecewa,saya kecewa.dengan aplikasi ini.saldo saya sering hilang.aplikasi dana sudah tidak aman lagi.kawan2 jangan donlow aplikasi ini kalau tidak mau kecewa,1,1,0,1
"saya mau mengirim dana teross disuruh Upgrade stelah saya upgrade dan kemudian berhasil, tetapi kok masih disuruh upgrade lagi","saya mau mengirim dana teross disuruh upgrade stelah saya upgrade dan kemudian berhasil, tetapi kok masih disuruh upgrade lagi",3,1,0,0
gimana ni boss dana kok sering kali dana gangguan,gimana ni boss dana kok sering kali dana gangguan,1,1,0,1
aplikasi nya suka selip uang orng,aplikasi nya suka selip uang orng,1,1,0,1
knp buat deposit lwat QRIS sllu gagal...???,knp buat deposit lwat qris sllu gagal...???,1,1,0,0
parah gak pernah ada solusi kalo lagi bermasalah,parah gak pernah ada solusi kalo lagi bermasalah,1,0,1,1
tolong perbaiki lagi saya sudah Premium akunnya kok hilang tolong perbaiki saya jadi susah untuk transfer uang,tolong perbaiki lagi saya sudah premium akunnya kok hilang tolong perbaiki saya jadi susah untuk transfer uang,1,1,0,1
dana ku udah premium pas mau transfer ke sesama dana eh kok malah disuruh upgrade lagi ini nge bug atau gimana yak,dana ku udah premium pas mau transfer ke sesama dana eh kok malah disuruh upgrade lagi ini nge bug atau gimana yak,1,1,0,0
apa apaan anjir masa udah top up tapi tiba-tiba dibatalkan transaksi nya,apa apaan anjir masa udah top up tapi tiba tiba dibatalkan transaksi nya,1,1,0,1
duit kuu bru san ku tf dari bri ke dan kok hilang bisa bantu tolong,duit kuu bru san ku tf dari bri ke dan kok hilang bisa bantu tolong,1,1,0,0
"Makin ancur ini dana, transaksi d persulit, kadang saldo tiba tiba hilang, parahh","makin ancur ini dana, transaksi d persulit, kadang saldo tiba tiba hilang, parahh",1,1,0,1
gak bagus gak bisa premium dan jelek tidak bisa apa apa tanpa premium aplikasi apaan kaya gini cuih,gak bagus gak bisa premium dan jelek tidak bisa apa apa tanpa premium aplikasi apaan kaya gini cuih,1,0,1,1
saldo dana cicil saya tidak bisa digunakan,saldo dana cicil saya tidak bisa digunakan,1,1,0,0
