content,cleaned_content,score,accuracy,completeness,satisfaction
aplikasi ewallet paling lag paling susah untuk pembayaran,aplikasi ewallet paling lag paling susah untuk pembayaran,2,1,0,1
min kenapa kok akunt dana saya gak ada dana cicilnya..,min kenapa kok akunt dana saya gak ada dana cicilnya..,1,0,1,0
kenapa aplikasi ini kadang tidak bisa buat kirim uang,kenapa aplikasi ini kadang tidak bisa buat kirim uang,3,1,0,0
puqiii dana goals gua gabisa di tarik🫵🫵,puqiii dana goals gua gabisa di tarik,1,1,0,1
"biaya transfer ke bank bri atau bank lainnya mahan sekli,,stiap melakukan transaksi laku di kenakan admin","biaya transfer ke bank bri atau bank lainnya mahan sekli,,stiap melakukan transaksi laku di kenakan admin",1,0,0,1
"- nya gaada dana cicil, padahal sudah lama pakai Apk ini","nya gaada dana cicil, padahal sudah lama pakai apk ini",3,0,1,0
"saya tidak menerima iKON dana cicil, semua orang ada kenpa saya tidak ada, udah premium bahkan sampai limit aku make dana, blm juga ada dana cicil nya, mohon bantuannya buatkan juga saya iKON dana cicil nya","saya tidak menerima ikon dana cicil, semua orang ada kenpa saya tidak ada, udah premium bahkan sampai limit aku make dana, blm juga ada dana cicil nya, mohon bantuannya buatkan juga saya ikon dana cicil nya",1,0,1,0
pembaruan qris sering error,pembaruan qris sering error,1,1,0,0
"sangat mengecewakan sekali, tidak ada sama sekali penyelesaian yang saya terima untuk pengaduan pada layanan dana cicil saya, percuma fitur layanan dana cicil saya ditampilkan tetapi disaat terdesak dengan sedikit kesulitan masalah keuangan dana cicil saya tidak bisa digunakan😡","sangat mengecewakan sekali, tidak ada sama sekali penyelesaian yang saya terima untuk pengaduan pada layanan dana cicil saya, percuma fitur layanan dana cicil saya ditampilkan tetapi disaat terdesak dengan sedikit kesulitan masalah keuangan dana cicil saya tidak bisa digunakan",1,1,1,1
DANA INI KENAPA WOYY.. BISA KERJA NGK KAU.. APLIKASI APAAN INI,dana ini kenapa woyy.. bisa kerja ngk kau.. aplikasi apaan ini,1,0,0,1
gajelas ada waktu dimana gabisa dipencet kirim uang,gajelas ada waktu dimana gabisa dipencet kirim uang,1,1,0,1
knpa in dana tiba tiba fitur kirim dana QRIS tidak bisa di gunakan sy ingin bayar TPi tidak bisa.. sy fikir eror setelah sy hapus aplikasi dan download lagi sy login saldo dana sy 25000 lenyap mohon di respon untuk pihak dana,knpa in dana tiba tiba fitur kirim dana qris tidak bisa di gunakan sy ingin bayar tpi tidak bisa.. sy fikir eror setelah sy hapus aplikasi dan download lagi sy login saldo dana sy 25000 lenyap mohon di respon untuk pihak dana,2,1,0,1
